Augment,Tier,Type
2만한 가치,S,['Economy']
2인조,B,"['Items', 'Economy']"
4단계 한 쌍,B,['Combat']
4후지원,A,['Economy']
5등급,S,"['Items', 'Combat']"
가시 박힌 갑옷,S,"['Items', 'Combat']"
가족 문장,B,['Economy']
가족 왕관,C,['Economy']
가지 뻗기,S,['Strategic']
간이 대장간,S,['Items']
감시자 문장,B,['Economy']
감시자 왕관,C,['Economy']
강력한 보호막,A,['Combat']
거대한 거인,B,['Strategic']
거울의 전당,D,"['Combat', 'Strategic']"
검무,A,['Combat']
검은 장미단 문장,A,['Economy']
검은 장미단 왕관,B,['Economy']
격전의 지하도시,S,['Economy']
결과 예측,C,['Economy']
계산된 강화,B,['Combat']
고귀한 모험,A,['Strategic']
고물 더미 꼭대기,A,"['Items', 'Economy']"
고물상 문장,B,['Economy']
고물상 왕관,B,['Economy']
고전압,B,"['Items', 'Combat']"
골렘화,B,"['Combat', 'Strategic']"
공중전,A,"['Combat', 'Economy']"
공허소환사,A,"['Combat', 'Economy']"
공허의 무리,A,['Combat']
공허의 무리,A,['Combat']
과다치유,B,['Combat']
과적,S,['Economy']
교환의 장,B,['Economy']
구독 서비스,C,['Economy']
국왕시해자,S,['Economy']
균열 수정,C,"['Combat', 'Economy']"
극진한 헌신,C,"['Economy', 'Strategic']"
근위대,B,"['Items', 'Combat']"
금단의 마법,B,"['Combat', 'Economy']"
금방 올게,A,"['Items', 'Scaling']"
급매,A,['Economy']
기다림의 미학,S,"['Economy', 'Scaling', 'Strategic']"
기다림의 미학 II,C,['Economy']
기동타격대 문장,B,['Economy']
기동타격대 왕관,C,['Economy']
꼬꼬마 거인,C,['Economy']
꼬꼬마 거인+,C,"['Economy', 'Strategic']"
꿰뚫는 연꽃 I,A,['Combat']
꿰뚫는 연꽃 II,A,['Combat']
끈끈한 우정,C,['Economy']
끈질긴 연구,A,['Economy']
난동꾼 문장,B,['Economy']
난동꾼 왕관,B,['Economy']
넘치는 대검,C,['Items']
넘치는 지팡이,C,['Items']
넘치는 허리띠,A,"['Items', 'Combat']"
녹서스의 단두대,A,"['Combat', 'Economy']"
놀이터에 온 걸 환영해,B,"['Economy', 'Economy']"
눈에는 눈,A,['Items']
눈에는 눈+,B,"['Items', 'Scaling']"
다 쓸 데가 있다니까 I,B,['Economy']
다른 태생,S,['Combat']
단일 조합 사수,S,"['Combat', 'Scaling']"
달빛,B,['Combat']
대격변 생성기,C,['Economy']
대관식,S,['Combat']
덩치 큰 친구들 I,B,['Combat']
덩치 큰 친구들 II,A,['Combat']
덩치 큰 친구들 III,S,['Combat']
도굴꾼 I,D,"['Items', 'Scaling']"
도굴꾼 II,D,"['Items', 'Scaling']"
도둑 무리 I,S,['Items']
돈벼락,B,['Economy']
돈벼락+,A,['Economy']
돌연변이 발현,A,"['Combat', 'Economy']"
두 가지 목적,B,['Economy']
뒤바뀐 운명,C,"['Items', 'Scaling', 'Strategic']"
또 다른 이상 현상,B,"['Combat', 'Scaling']"
레벨 업!,B,['Economy']
로켓 컬렉션,A,"['Combat', 'Economy']"
로켓 컬렉션+,B,"['Combat', 'Economy']"
마나순환 I,S,['Combat']
마나순환 II,S,['Combat']
마법 주사위,A,['Strategic']
마법사 문장,S,['Economy']
마법사 왕관,A,['Economy']
마지막 손질,B,['Items']
맑은 정신,C,['Economy']
매복자 문장,A,['Economy']
매복자 왕관,B,['Economy']
맹렬한 공세,C,['Combat']
먼 친구,B,['Combat']
모두를 위한 하나 I,C,['Combat']
모두를 위한 하나 II,C,['Combat']
미래 지향적 사고,S,['Economy']
미친 화학자,C,['Combat']
반군 문장,A,['Scaling']
반군 왕관,A,['Economy']
반짝이는 것들,S,['Economy']
반짝이는 것들+,S,['Economy']
방랑하는 조련사 I,B,"['Combat', 'Strategic']"
방랑하는 조련사 II,A,"['Combat', 'Strategic']"
배부른 주문술사,B,['Combat']
법 집행,B,"['Economy', 'Combat', 'Economy']"
별이 빛나는 밤,S,['Economy']
별이 빛나는 밤+,S,['Economy']
보호막 강타,B,"['Combat', 'Economy']"
복제,B,['Items']
복제 시설,B,['Combat']
부스러기,A,"['Items', 'Economy', 'Scaling']"
부식,A,['Combat']
분노 조절 문제,A,"['Items', 'Combat', 'Strategic']"
불운 방지,A,['Combat']
불장난,B,"['Items', 'Combat']"
불타는 영혼 I,A,['Combat']
불타는 영혼 II,S,['Combat']
붉고 푸른 효과,B,"['Items', 'Economy']"
빌붙기,A,['Combat']
빛비늘 정수,A,"['Items', 'Economy']"
빛의 속도,C,['Items']
삼인방 I,B,"['Economy', 'Combat']"
삼인방 II,B,"['Economy', 'Combat']"
상점 오류,A,"['Economy', 'Scaling']"
새로고침 이월,C,['Economy']
새로고침의 날 I,S,['Economy']
새로운 시대,A,['Economy']
새로운 시대+,A,['Economy']
생일 선물,B,['Economy']
생존자,D,"['Economy', 'Scaling']"
서열 상승 I,B,['Combat']
서열 상승 II,B,['Combat']
선도자 문장,A,['Economy']
선도자 왕관,C,['Economy']
수호자의 선택,B,"['Items', 'Scaling']"
수호자의 친구,A,['Economy']
수호자의 호의,B,"['Items', 'Scaling']"
숭고한 희생,B,['Combat']
슈퍼스타 I,B,['Combat']
슈퍼스타 II,B,"['Economy', 'Combat', 'Scaling']"
스승 I,B,['Economy']
스승 II,A,['Combat']
슬쩍하기,B,['Economy']
시계태엽 윤활유,B,['Combat']
신중한 제작,S,"['Items', 'Scaling']"
실험체 문장,S,['Economy']
실험체 왕관,A,['Economy']
쓰레기 청소부,C,['Combat']
아드레날린 폭발,C,"['Combat', 'Economy']"
아이템 꾸러미 I,A,['Items']
아이템 수집가 I,A,['Combat']
아이템 수집가 II,A,['Combat']
아이템 숙성,D,['Combat']
아카데미 문장,B,['Economy']
아카데미 왕관,C,['Economy']
