Item,Type,Stat,Effect,Recipe
B.F.대검,조합,공격력+10%,-,-
곡궁,조합,공격속도+10%,-,-
쇠사슬 조끼,조합,방어력+20,-,-
음전자 망토,조합,마법저항력+20,-,-
거인의 허리띠,조합,체력+150,-,-
여신의 눈물,조합,마나+15,-,-
쓸데없이 큰 지팡이,조합,주문력+10,-,-
연습용 장갑,조합,치명타 확률+20%,-,-
뒤집개,조합,-,-,-
프라이팬,조합,-,-,-
죽음의 검,완성,공격력+55%,-,B.F.대검 + B.F.대검
거인 학살자,완성,"공격력+25%, 주문력+25%, 공격속도+10%, 피행증폭+5%",최대 체력이 1750 이상인 적을 상대로 피해 증폭을 15% 획득,B.F.대검 + 곡궁
밤의 끝자락,완성,"공격력+10%, 방어력+20",[고유] 전투당 1회: 체력이 60%일 때 잠시 대상으로 지정할 수 없게 되며 해로운 효과 제거. 이후 추가 공격 속도 15% 획득,B.F.대검 + 쇠사슬 조끼
마법공학 총검,완성,"공격력+20%, 주문력+20%, 모든피해흡혈+15%",입힌 피해량의 25%만큼 체력 비율이 가장 낮은 아군의 체력 회복,B.F.대검 + 여신의 눈물
쇼진의 창,완성,"공격력+15%, 주문력+15%, 마나+15",기본 공격 시 추가 마나 5 획득,B.F.대검 + 여신의 눈물
